latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
60.0538,30.433228,23,10800,Europe/Moscow,MSK
,,,,,
time,温度temperature_2m (°C),湿度relative_humidity_2m (%),风速wind_speed_10m (km/h),风向wind_direction_10m（°）,pressure_msl (hPa)
2024-05-08T21:45,0.9,49,8.3,315,1025.5
2024-05-08T22:00,0.6,50,8.6,306,1025.2
2024-05-08T22:15,0.3,51,8.6,301,1025
2024-05-08T22:30,0.2,51,9,298,1024.7
2024-05-08T22:45,0.1,52,9,296,1024.3
2024-05-08T23:00,-0.1,52,9.4,295,1024.2
2024-05-08T23:15,-0.2,52,9.7,295,1024.2
2024-05-08T23:30,-0.2,53,10.1,295,1024.1
2024-05-08T23:45,-0.3,53,10.1,296,1023.8
2024-05-09T00:00,-0.4,53,10.4,297,1023.2
2024-05-09T00:15,-0.4,53,10.4,297,1022.7
2024-05-09T00:30,-0.4,54,10.4,298,1021.9
2024-05-09T00:45,-0.4,54,10.4,298,1021.2
2024-05-09T01:00,-0.4,54,10.4,300,1020.1
2024-05-09T01:15,-0.3,54,10.1,303,1019.4
2024-05-09T01:30,-0.3,54,9.7,308,1018.7
2024-05-09T01:45,-0.3,54,9.4,312,1018.4
2024-05-09T02:00,-0.4,54,9,315,1017.8
2024-05-09T02:15,-0.6,55,8.6,316,1017.3
2024-05-09T02:30,-0.8,55,8.6,315,1016.7
2024-05-09T02:45,-1,56,8.3,315,1016.1
2024-05-09T03:00,-1.2,57,8.3,315,1015.3
2024-05-09T03:15,-1.4,57,7.9,317,1014.7
2024-05-09T03:30,-1.5,58,7.9,321,1013.9
2024-05-09T03:45,-1.5,58,7.6,324,1013.4
2024-05-09T04:00,-1.6,58,7.6,326,1013.2
2024-05-09T04:15,-1.8,59,7.6,325,1012.7
2024-05-09T04:30,-2,60,7.2,323,1012
2024-05-09T04:45,-2,61,7.2,320,1011.4
2024-05-09T05:00,-2.1,61,7.2,318,1010.8
2024-05-09T05:15,-2,60,7.2,317,1010.3
2024-05-09T05:30,-1.8,59,7.2,316,1010.1
2024-05-09T05:45,-1.5,58,7.2,315,1009.9
2024-05-09T06:00,-1.1,56,7.2,314,1009.4
2024-05-09T06:15,-0.6,54,7.6,313,1009.3
2024-05-09T06:30,-0.1,52,7.9,312,1009.3
2024-05-09T06:45,0.5,50,8.3,311,1009.1
2024-05-09T07:00,1,48,8.6,310,1009
2024-05-09T07:15,1.6,46,9.4,309,1009
2024-05-09T07:30,2.1,44,10.1,307,1009.2
2024-05-09T07:45,2.6,42,10.8,306,1009.6
2024-05-09T08:00,3,40,11.5,305,1009.9
2024-05-09T08:15,3.5,39,12.2,304,1010.5
2024-05-09T08:30,3.8,39,12.6,303,1010.7
2024-05-09T08:45,4.2,38,13.3,303,1010.5
2024-05-09T09:00,4.6,38,13.7,303,1010.5
2024-05-09T09:15,4.9,38,14,304,1010.6
2024-05-09T09:30,5.2,38,14,306,1010.4
2024-05-09T09:45,5.6,38,14,308,1010.4
